[Train] Epoch:[0/100]	 loss=0.03129	 acc=0.073
[Train] Epoch:[1/100]	 loss=0.02702	 acc=0.161
[Train] Epoch:[2/100]	 loss=0.02304	 acc=0.254
[Train] Epoch:[3/100]	 loss=0.01953	 acc=0.339
[Train] Epoch:[4/100]	 loss=0.01683	 acc=0.419
[Train] Epoch:[5/100]	 loss=0.01477	 acc=0.478
[Train] Epoch:[6/100]	 loss=0.01301	 acc=0.530
[Train] Epoch:[7/100]	 loss=0.01152	 acc=0.578
[Train] Epoch:[8/100]	 loss=0.01019	 acc=0.619
[Train] Epoch:[9/100]	 loss=0.00897	 acc=0.661
[Train] Epoch:[10/100]	 loss=0.00768	 acc=0.707
[Train] Epoch:[11/100]	 loss=0.00646	 acc=0.747
[Train] Epoch:[12/100]	 loss=0.00529	 acc=0.789
[Train] Epoch:[13/100]	 loss=0.00435	 acc=0.828
[Train] Epoch:[14/100]	 loss=0.00347	 acc=0.860
[Train] Epoch:[15/100]	 loss=0.00280	 acc=0.887
[Train] Epoch:[16/100]	 loss=0.00234	 acc=0.908
[Train] Epoch:[17/100]	 loss=0.00209	 acc=0.918
[Train] Epoch:[18/100]	 loss=0.00190	 acc=0.923
[Train] Epoch:[19/100]	 loss=0.00161	 acc=0.936
[Train] Epoch:[20/100]	 loss=0.00156	 acc=0.939
[Train] Epoch:[21/100]	 loss=0.00168	 acc=0.932
[Train] Epoch:[22/100]	 loss=0.00132	 acc=0.948
[Train] Epoch:[23/100]	 loss=0.00126	 acc=0.951
[Train] Epoch:[24/100]	 loss=0.00145	 acc=0.942
[Train] Epoch:[25/100]	 loss=0.00124	 acc=0.951
[Train] Epoch:[26/100]	 loss=0.00117	 acc=0.953
[Train] Epoch:[27/100]	 loss=0.00124	 acc=0.951
[Train] Epoch:[28/100]	 loss=0.00123	 acc=0.951
[Train] Epoch:[29/100]	 loss=0.00116	 acc=0.953
[Train] Epoch:[30/100]	 loss=0.00099	 acc=0.961
[Train] Epoch:[31/100]	 loss=0.00097	 acc=0.962
[Train] Epoch:[32/100]	 loss=0.00122	 acc=0.951
[Train] Epoch:[33/100]	 loss=0.00109	 acc=0.957
[Train] Epoch:[34/100]	 loss=0.00094	 acc=0.964
[Train] Epoch:[35/100]	 loss=0.00098	 acc=0.963
[Train] Epoch:[36/100]	 loss=0.00107	 acc=0.958
[Train] Epoch:[37/100]	 loss=0.00098	 acc=0.962
[Train] Epoch:[38/100]	 loss=0.00095	 acc=0.963
[Train] Epoch:[39/100]	 loss=0.00096	 acc=0.963
[Train] Epoch:[40/100]	 loss=0.00096	 acc=0.962
[Train] Epoch:[41/100]	 loss=0.00084	 acc=0.967
[Train] Epoch:[42/100]	 loss=0.00092	 acc=0.964
[Train] Epoch:[43/100]	 loss=0.00098	 acc=0.962
[Train] Epoch:[44/100]	 loss=0.00090	 acc=0.965
[Train] Epoch:[45/100]	 loss=0.00098	 acc=0.962
[Train] Epoch:[46/100]	 loss=0.00081	 acc=0.968
[Train] Epoch:[47/100]	 loss=0.00080	 acc=0.969
[Train] Epoch:[48/100]	 loss=0.00092	 acc=0.964
[Train] Epoch:[49/100]	 loss=0.00096	 acc=0.963
[Train] Epoch:[50/100]	 loss=0.00073	 acc=0.972
[Train] Epoch:[51/100]	 loss=0.00081	 acc=0.969
