[Train] Epoch:[0/100]	 loss=0.00967	 acc=0.689
[Train] Epoch:[1/100]	 loss=0.00559	 acc=0.791
[Train] Epoch:[2/100]	 loss=0.00486	 acc=0.816
[Train] Epoch:[3/100]	 loss=0.00456	 acc=0.823
[Train] Epoch:[4/100]	 loss=0.00428	 acc=0.834
[Train] Epoch:[5/100]	 loss=0.00410	 acc=0.839
[Train] Epoch:[6/100]	 loss=0.00388	 acc=0.847
[Train] Epoch:[7/100]	 loss=0.00377	 acc=0.851
[Train] Epoch:[8/100]	 loss=0.00364	 acc=0.858
[Train] Epoch:[9/100]	 loss=0.00355	 acc=0.860
[Train] Epoch:[10/100]	 loss=0.00347	 acc=0.863
[Train] Epoch:[11/100]	 loss=0.00338	 acc=0.866
[Train] Epoch:[12/100]	 loss=0.00334	 acc=0.867
[Train] Epoch:[13/100]	 loss=0.00329	 acc=0.869
[Train] Epoch:[14/100]	 loss=0.00331	 acc=0.870
[Train] Epoch:[15/100]	 loss=0.00324	 acc=0.871
[Train] Epoch:[16/100]	 loss=0.00308	 acc=0.877
[Train] Epoch:[17/100]	 loss=0.00317	 acc=0.872
[Train] Epoch:[18/100]	 loss=0.00311	 acc=0.877
[Train] Epoch:[19/100]	 loss=0.00307	 acc=0.878
[Train] Epoch:[20/100]	 loss=0.00302	 acc=0.881
[Train] Epoch:[21/100]	 loss=0.00296	 acc=0.881
[Train] Epoch:[22/100]	 loss=0.00295	 acc=0.883
[Train] Epoch:[23/100]	 loss=0.00302	 acc=0.879
[Train] Epoch:[24/100]	 loss=0.00286	 acc=0.885
[Train] Epoch:[25/100]	 loss=0.00289	 acc=0.883
[Train] Epoch:[26/100]	 loss=0.00295	 acc=0.884
[Train] Epoch:[27/100]	 loss=0.00291	 acc=0.885
[Train] Epoch:[28/100]	 loss=0.00287	 acc=0.885
[Train] Epoch:[29/100]	 loss=0.00287	 acc=0.885
[Train] Epoch:[30/100]	 loss=0.00284	 acc=0.886
[Train] Epoch:[31/100]	 loss=0.00281	 acc=0.888
[Train] Epoch:[32/100]	 loss=0.00285	 acc=0.888
[Train] Epoch:[33/100]	 loss=0.00282	 acc=0.889
[Train] Epoch:[34/100]	 loss=0.00280	 acc=0.887
[Train] Epoch:[35/100]	 loss=0.00273	 acc=0.891
[Train] Epoch:[36/100]	 loss=0.00276	 acc=0.889
[Train] Epoch:[37/100]	 loss=0.00278	 acc=0.889
[Train] Epoch:[38/100]	 loss=0.00274	 acc=0.890
[Train] Epoch:[39/100]	 loss=0.00281	 acc=0.889
[Train] Epoch:[40/100]	 loss=0.00280	 acc=0.887
[Train] Epoch:[41/100]	 loss=0.00276	 acc=0.892
[Train] Epoch:[42/100]	 loss=0.00281	 acc=0.887
[Train] Epoch:[43/100]	 loss=0.00277	 acc=0.891
[Train] Epoch:[44/100]	 loss=0.00272	 acc=0.892
[Train] Epoch:[45/100]	 loss=0.00274	 acc=0.890
[Train] Epoch:[46/100]	 loss=0.00278	 acc=0.889
[Train] Epoch:[47/100]	 loss=0.00275	 acc=0.888
