[Train] Epoch:[9/30]	 loss=0.00156	 acc=0.930
[Train] Epoch:[10/30]	 loss=0.00156	 acc=0.931
[Train] Epoch:[11/30]	 loss=0.00146	 acc=0.935
[Train] Epoch:[12/30]	 loss=0.00143	 acc=0.937
[Train] Epoch:[13/30]	 loss=0.00142	 acc=0.937
[Train] Epoch:[14/30]	 loss=0.00139	 acc=0.939
[Train] Epoch:[15/30]	 loss=0.00137	 acc=0.940
[Train] Epoch:[16/30]	 loss=0.00131	 acc=0.942
[Train] Epoch:[17/30]	 loss=0.00133	 acc=0.941
[Train] Epoch:[18/30]	 loss=0.00132	 acc=0.942
[Train] Epoch:[19/30]	 loss=0.00132	 acc=0.943
[Train] Epoch:[20/30]	 loss=0.00129	 acc=0.943
[Train] Epoch:[21/30]	 loss=0.00127	 acc=0.944
[Train] Epoch:[22/30]	 loss=0.00127	 acc=0.944
[Train] Epoch:[23/30]	 loss=0.00121	 acc=0.945
[Train] Epoch:[24/30]	 loss=0.00123	 acc=0.945
[Train] Epoch:[25/30]	 loss=0.00118	 acc=0.947
[Train] Epoch:[26/30]	 loss=0.00115	 acc=0.949
[Train] Epoch:[27/30]	 loss=0.00116	 acc=0.949
[Train] Epoch:[28/30]	 loss=0.00115	 acc=0.948
[Train] Epoch:[29/30]	 loss=0.00112	 acc=0.949
