[Train] Epoch:[0/100]	 loss=0.01080	 acc=0.628
[Train] Epoch:[1/100]	 loss=0.00721	 acc=0.722
[Train] Epoch:[2/100]	 loss=0.00650	 acc=0.750
[Train] Epoch:[3/100]	 loss=0.00611	 acc=0.763
[Train] Epoch:[4/100]	 loss=0.00589	 acc=0.771
[Train] Epoch:[5/100]	 loss=0.00557	 acc=0.784
[Train] Epoch:[6/100]	 loss=0.00546	 acc=0.788
[Train] Epoch:[7/100]	 loss=0.00523	 acc=0.799
[Train] Epoch:[8/100]	 loss=0.00514	 acc=0.799
[Train] Epoch:[9/100]	 loss=0.00501	 acc=0.803
[Train] Epoch:[10/100]	 loss=0.00490	 acc=0.809
[Train] Epoch:[11/100]	 loss=0.00493	 acc=0.810
[Train] Epoch:[12/100]	 loss=0.00481	 acc=0.812
[Train] Epoch:[13/100]	 loss=0.00486	 acc=0.809
[Train] Epoch:[14/100]	 loss=0.00467	 acc=0.817
[Train] Epoch:[15/100]	 loss=0.00456	 acc=0.823
[Train] Epoch:[16/100]	 loss=0.00469	 acc=0.820
[Train] Epoch:[17/100]	 loss=0.00449	 acc=0.825
[Train] Epoch:[18/100]	 loss=0.00452	 acc=0.824
[Train] Epoch:[19/100]	 loss=0.00447	 acc=0.825
[Train] Epoch:[20/100]	 loss=0.00441	 acc=0.827
[Train] Epoch:[21/100]	 loss=0.00434	 acc=0.828
[Train] Epoch:[22/100]	 loss=0.00430	 acc=0.831
[Train] Epoch:[23/100]	 loss=0.00432	 acc=0.832
[Train] Epoch:[24/100]	 loss=0.00430	 acc=0.835
[Train] Epoch:[25/100]	 loss=0.00422	 acc=0.833
[Train] Epoch:[26/100]	 loss=0.00421	 acc=0.832
[Train] Epoch:[27/100]	 loss=0.00421	 acc=0.835
[Train] Epoch:[28/100]	 loss=0.00414	 acc=0.836
[Train] Epoch:[29/100]	 loss=0.00408	 acc=0.839
[Train] Epoch:[30/100]	 loss=0.00411	 acc=0.839
[Train] Epoch:[31/100]	 loss=0.00406	 acc=0.840
[Train] Epoch:[32/100]	 loss=0.00410	 acc=0.839
[Train] Epoch:[33/100]	 loss=0.00399	 acc=0.844
[Train] Epoch:[34/100]	 loss=0.00394	 acc=0.845
[Train] Epoch:[35/100]	 loss=0.00393	 acc=0.847
[Train] Epoch:[36/100]	 loss=0.00397	 acc=0.845
[Train] Epoch:[37/100]	 loss=0.00390	 acc=0.847
[Train] Epoch:[38/100]	 loss=0.00389	 acc=0.849
[Train] Epoch:[39/100]	 loss=0.00389	 acc=0.847
[Train] Epoch:[40/100]	 loss=0.00383	 acc=0.847
[Train] Epoch:[41/100]	 loss=0.00383	 acc=0.850
[Train] Epoch:[42/100]	 loss=0.00369	 acc=0.855
[Train] Epoch:[43/100]	 loss=0.00390	 acc=0.847
[Train] Epoch:[44/100]	 loss=0.00376	 acc=0.852
[Train] Epoch:[45/100]	 loss=0.00379	 acc=0.853
[Train] Epoch:[46/100]	 loss=0.00376	 acc=0.850
[Train] Epoch:[47/100]	 loss=0.00370	 acc=0.856
[Train] Epoch:[48/100]	 loss=0.00369	 acc=0.855
[Train] Epoch:[49/100]	 loss=0.00366	 acc=0.854
[Train] Epoch:[50/100]	 loss=0.00361	 acc=0.858
[Train] Epoch:[51/100]	 loss=0.00375	 acc=0.852
[Train] Epoch:[52/100]	 loss=0.00370	 acc=0.855
[Train] Epoch:[53/100]	 loss=0.00368	 acc=0.857
[Train] Epoch:[54/100]	 loss=0.00366	 acc=0.858
[Train] Epoch:[55/100]	 loss=0.00364	 acc=0.856
[Train] Epoch:[56/100]	 loss=0.00361	 acc=0.859
[Train] Epoch:[57/100]	 loss=0.00358	 acc=0.859
[Train] Epoch:[58/100]	 loss=0.00358	 acc=0.860
[Train] Epoch:[59/100]	 loss=0.00354	 acc=0.861
[Train] Epoch:[60/100]	 loss=0.00358	 acc=0.859
[Train] Epoch:[61/100]	 loss=0.00351	 acc=0.863
[Train] Epoch:[62/100]	 loss=0.00364	 acc=0.857
[Train] Epoch:[63/100]	 loss=0.00355	 acc=0.862
[Train] Epoch:[64/100]	 loss=0.00356	 acc=0.859
[Train] Epoch:[65/100]	 loss=0.00355	 acc=0.859
[Train] Epoch:[66/100]	 loss=0.00356	 acc=0.860
[Train] Epoch:[67/100]	 loss=0.00357	 acc=0.861
[Train] Epoch:[68/100]	 loss=0.00357	 acc=0.860
[Train] Epoch:[69/100]	 loss=0.00345	 acc=0.865
[Train] Epoch:[70/100]	 loss=0.00349	 acc=0.862
[Train] Epoch:[71/100]	 loss=0.00341	 acc=0.868
[Train] Epoch:[72/100]	 loss=0.00346	 acc=0.865
[Train] Epoch:[73/100]	 loss=0.00350	 acc=0.862
[Train] Epoch:[74/100]	 loss=0.00346	 acc=0.866
[Train] Epoch:[75/100]	 loss=0.00344	 acc=0.866
[Train] Epoch:[76/100]	 loss=0.00356	 acc=0.860
[Train] Epoch:[77/100]	 loss=0.00345	 acc=0.864
[Train] Epoch:[78/100]	 loss=0.00338	 acc=0.867
[Train] Epoch:[79/100]	 loss=0.00353	 acc=0.862
[Train] Epoch:[80/100]	 loss=0.00341	 acc=0.866
[Train] Epoch:[81/100]	 loss=0.00338	 acc=0.868
[Train] Epoch:[82/100]	 loss=0.00343	 acc=0.864
[Train] Epoch:[83/100]	 loss=0.00338	 acc=0.870
[Train] Epoch:[84/100]	 loss=0.00342	 acc=0.865
[Train] Epoch:[85/100]	 loss=0.00333	 acc=0.870
[Train] Epoch:[86/100]	 loss=0.00329	 acc=0.870
[Train] Epoch:[87/100]	 loss=0.00347	 acc=0.864
[Train] Epoch:[88/100]	 loss=0.00349	 acc=0.864
[Train] Epoch:[89/100]	 loss=0.00338	 acc=0.867
[Train] Epoch:[90/100]	 loss=0.00336	 acc=0.867
[Train] Epoch:[91/100]	 loss=0.00337	 acc=0.869
[Train] Epoch:[92/100]	 loss=0.00338	 acc=0.870
[Train] Epoch:[93/100]	 loss=0.00331	 acc=0.872
[Train] Epoch:[94/100]	 loss=0.00338	 acc=0.867
[Train] Epoch:[95/100]	 loss=0.00332	 acc=0.870
[Train] Epoch:[96/100]	 loss=0.00336	 acc=0.868
[Train] Epoch:[97/100]	 loss=0.00336	 acc=0.867
[Train] Epoch:[98/100]	 loss=0.00336	 acc=0.867
[Train] Epoch:[99/100]	 loss=0.00339	 acc=0.869
